Customer_ID,Signup_Date,Churn_Status,Age,Subscription_Plan,Monthly_Charges,Total_Charges,Contract_Type,Payment_Method,Support_Calls
5907294e-63d8-4730-853f-0e39f65104a1,2025-01-21,No,70,Basic,118.66990351236336,356.01,One Year,PayPal,5
ee5aecee-5039-4f5f-a3d1-18362f56000e,2024-08-19,No,26,Basic,86.34955746482221,518.1,Two Year,PayPal,5
b5359c46-3fc0-4cb5-98c5-f36ce0681d25,2024-02-22,No,45,Standard,31.77111356667171,254.17,Two Year,Credit Card,3
d332505b-9356-49a9-9ff7-baaafb206c7b,2024-04-24,No,55,Basic,147.90793630313098,3106.07,One Year,Crypto,0
2279c938-06eb-4bfd-a52b-71857f7f5cbf,2024-10-30,No,58,Basic,14.43512609241003,259.83,Two Year,Bank Transfer,4
926b712b-2946-43be-bf76-e1208351b6ad,2023-05-13,No,37,Premium,134.23994226781264,2819.04,One Year,Crypto,1
381d6972-8e10-4626-8a59-acb2c5d64e84,2024-05-02,Yes,50,Premium,N/A,N/A,Two Year,PayPal,9
222ebf59-0b90-4b19-a161-f4aa2df182e2,2024-03-12,No,73,Basic,71.84638106751886,502.92,Two Year,Crypto,1
82f7c03b-8099-41b3-bc62-44ba0e297eba,2024-06-17,No,33,Standard,78.90773645926376,157.82,One Year,PayPal,7
2565b7a4-bf5a-4ed1-b0de-959c1c224ce4,2024-03-12,No,43,Standard,32.698978102579545,32.7,One Year,PayPal,7
1a0a34bf-a410-43b2-97d3-639bba39eb18,2023-03-22,Yes,35,Standard,22.105392514395582,132.63,Two Year,Bank Transfer,6
36c75acd-61ff-4b71-948d-802d55281f19,2024-01-28,No,23,Standard,48.98024515837709,48.98,One Year,PayPal,8
158f446e-04b1-45b4-95a1-df23750f9176,2024-02-02,No,41,Premium,116.2704995173363,2557.95,One Year,PayPal,0
b6a9eb29-05b8-4471-a861-89f8e2be537e,2025-01-08,No,28,Standard,140.7942617254355,422.38,Month-to-Month,Credit Card,0
